Eventdate,day,Start time,End Time,Area
15/02/2023,Thu,11:00:00,18:00:00,Ground floor
18/02/2023,Sat,8:00:00,10:00:00,Mall
26/02/2023,Sun,9:00:00,23:59:00,Mall
27/02/2023,Thu,10:00:00,20:00:00,Area 3
28/02/2023,Tue,11:00:00,11:00:00,Area 5
02/03/2023,Thu,10:00:00,16:00:00,Mall
03/03/2023,Fri,10:00:00,23:00:00,Mall
05/03/2023,Sun,11:00:00,19:00:00,Mall
06/03/2023,Mon,10:00:00,,Mall
07/03/2023,Tue,10:00:00,20:00:00,Mall
08/03/2023,Wed,12:00:00 pm,5:00:00 pm,Ground floor
10/03/2023,Fri,10:00:00,16:00:00,Mall
18/03/2023,Sat,10:00:00,12:00:00,Mall
20/03/2023,Mon,8:00:00,,Mall
21/03/2023,Tue,10:00:00,,Ground floor
22/03/2023,Wed,11:00:00,16:00:00,Ground floor
