date,day,eventfromtime,dayname,entry,shoppingtime
15/02/2023,Wed,0:00:00,Wed,231,0
15/02/2023,Wed,1:00:00,Wed,9,0
15/02/2023,Wed,2:00:00,Wed,3,0
15/02/2023,Wed,3:00:00,Wed,6,0
15/02/2023,Wed,4:00:00,Wed,5,0
15/02/2023,Wed,5:00:00,Wed,6,0
15/02/2023,Wed,6:00:00,Wed,16,0
15/02/2023,Wed,7:00:00,Wed,42,342.3
15/02/2023,Wed,8:00:00,Wed,94,237.79
15/02/2023,Wed,9:00:00,Wed,437,10.65
15/02/2023,Wed,10:00:00,Wed,1036,21.36
15/02/2023,Wed,11:00:00,Wed,1356,35.09
15/02/2023,Wed,12:00:00,Wed,1403,46.91
15/02/2023,Wed,13:00:00,Wed,1360,55.6
15/02/2023,Wed,14:00:00,Wed,1282,59.22
15/02/2023,Wed,15:00:00,Wed,1262,62.76
15/02/2023,Wed,16:00:00,Wed,1565,58.75
15/02/2023,Wed,17:00:00,Wed,1916,59.09
15/02/2023,Wed,18:00:00,Wed,1822,64.9
15/02/2023,Wed,19:00:00,Wed,1602,76
15/02/2023,Wed,20:00:00,Wed,1343,86.23
15/02/2023,Wed,21:00:00,Wed,766,96.35
15/02/2023,Wed,22:00:00,Wed,279,111.36
15/02/2023,Wed,23:00:00,Wed,78,119.87
16/02/2023,Thu,0:00:00,Thu,145,0
16/02/2023,Thu,1:00:00,Thu,19,0
16/02/2023,Thu,2:00:00,Thu,0,0
16/02/2023,Thu,3:00:00,Thu,0,0
16/02/2023,Thu,4:00:00,Thu,0,0
16/02/2023,Thu,5:00:00,Thu,0,0
16/02/2023,Thu,6:00:00,Thu,7,0
16/02/2023,Thu,7:00:00,Thu,27,347.59
16/02/2023,Thu,8:00:00,Thu,202,68.25
16/02/2023,Thu,9:00:00,Thu,415,23.65
16/02/2023,Thu,10:00:00,Thu,509,40.47
16/02/2023,Thu,11:00:00,Thu,524,57.02
16/02/2023,Thu,12:00:00,Thu,562,66.35
16/02/2023,Thu,13:00:00,Thu,613,70.3
16/02/2023,Thu,14:00:00,Thu,535,79.3
16/02/2023,Thu,15:00:00,Thu,417,92.89
16/02/2023,Thu,16:00:00,Thu,490,101.94
16/02/2023,Thu,17:00:00,Thu,477,104.87
16/02/2023,Thu,18:00:00,Thu,476,107.49
